CustomerID,Recency,Frequency,Monetary,AvgOrderValue,StdOrderValue,TotalTransactions,UniqueProducts,TotalQuantity,ActiveMonths,LifespanDays,FreqPerMonth,AvgInterPurchaseDays,R_Score,F_Score,M_Score,RFM_Score
15194,4.13,15,7616.53,24.57,22.99,310,209,5703,10,365.01,1.5,26.07,5,5,5,15
17048,118.27,3,925.35,21.52,11.2,43,41,485,3,213.79,1.0,106.9,2,3,3,8
15057,276.13,2,1489.5,59.58,47.14,25,25,668,2,40.26,1.0,40.26,1,2,4,7
18196,96.08,2,689.13,4.89,5.16,141,131,433,2,195.01,1.0,195.01,2,2,3,7
17499,290.38,1,622.88,15.57,9.36,40,40,711,1,0.0,1.0,53.46,1,1,3,5
13098,2.17,28,28882.44,50.49,57.64,572,156,15968,12,316.02,2.33,11.7,5,5,5,15
14719,2.23,5,1602.13,6.76,5.72,237,177,1032,5,247.93,1.0,61.98,5,4,4,13
15437,263.21,1,200.16,4.45,4.0,45,44,79,1,0.0,1.0,53.46,1,1,1,3
17979,36.26,4,757.71,5.19,7.31,146,116,397,3,224.02,1.33,74.67,3,4,3,10
15237,2.36,4,1412.32,14.27,4.76,99,94,1071,4,225.78,1.0,75.26,5,4,4,13
13248,125.24,2,465.68,17.91,5.22,26,25,305,2,64.98,1.0,64.98,2,2,2,6
14117,144.35,1,90.0,30.0,0.0,3,3,72,1,0.0,1.0,53.46,2,1,1,4
17703,36.1,3,798.74,14.52,6.09,55,47,590,3,103.1,1.0,51.55,3,3,3,9
15663,107.1,1,138.14,15.35,3.21,9,9,106,1,0.0,1.0,53.46,2,1,1,4
15322,86.37,1,679.68,16.18,6.73,42,42,416,1,0.0,1.0,53.46,2,1,3,6
13518,86.33,1,659.44,17.35,5.35,38,36,392,1,0.0,1.0,53.46,2,1,3,6
17043,33.12,4,1735.18,17.01,19.39,102,100,998,4,234.03,1.0,78.01,4,4,4,12
18147,46.27,2,179.34,25.62,10.08,7,7,203,2,62.98,1.0,62.98,3,2,1,6
16742,47.26,1,464.9,464.9,0.0,1,1,1,1,0.0,1.0,53.46,3,1,2,6
13460,30.04,2,183.44,10.79,3.43,17,16,286,2,20.31,1.0,20.31,4,2,1,7
15432,24.08,1,171.19,17.12,6.42,10,10,65,1,0.0,1.0,53.46,4,1,1,6
13638,16.32,1,122.64,15.33,5.04,8,8,93,1,0.0,1.0,53.46,4,1,1,6
16597,5.11,1,90.04,12.86,8.54,7,7,184,1,0.0,1.0,53.46,5,1,1,7
16781,373.16,1,311.25,18.31,5.51,17,17,113,1,0.0,1.0,53.46,1,1,2,4
13240,97.18,4,663.65,9.91,6.15,67,59,298,4,269.05,1.0,89.68,2,4,3,9
12967,358.97,2,1660.9,87.42,58.15,19,19,438,1,13.39,2.0,13.39,1,2,4,7
15221,367.22,1,403.25,80.65,18.74,5,5,43,1,0.0,1.0,53.46,1,1,2,4
