CustomerID,Recency,Frequency,Monetary,AvgOrderValue,StdOrderValue,TotalTransactions,UniqueProducts,TotalQuantity,ActiveMonths,LifespanDays,FreqPerMonth,AvgInterPurchaseDays,R_Score,F_Score,M_Score,RFM_Score,CLV_Target,Churned,churn_prob,Cluster,Segment
15194,4.13,15,7616.53,24.57,22.99,310,209,5703,10,365.01,1.5,26.07,5,5,5,15,3147.0,0,0.0,4,At-Risk
17048,118.27,3,925.35,21.52,11.2,43,41,485,3,213.79,1.0,106.9,2,3,3,8,0.0,1,0.587288121243025,1,Lost Cheap
15057,276.13,2,1489.5,59.58,47.14,25,25,668,2,40.26,1.0,40.26,1,2,4,7,0.0,1,0.8890625270022471,0,Promising
18196,96.08,2,689.13,4.89,5.16,141,131,433,2,195.01,1.0,195.01,2,2,3,7,0.0,1,0.7323547672508447,1,Lost Cheap
17499,290.38,1,622.88,15.57,9.36,40,40,711,1,0.0,1.0,53.46,1,1,3,5,0.0,1,0.9055737868144993,0,Promising
13098,2.17,28,28882.44,50.49,57.64,572,156,15968,12,316.02,2.33,11.7,5,5,5,15,13712.98,0,0.0,4,At-Risk
14719,2.23,5,1602.13,6.76,5.72,237,177,1032,5,247.93,1.0,61.98,5,4,4,13,1114.01,0,0.00661385692678321,1,Lost Cheap
15437,263.21,1,200.16,4.45,4.0,45,44,79,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.940008767588084,0,Promising
17979,36.26,4,757.71,5.19,7.31,146,116,397,3,224.02,1.33,74.67,3,4,3,10,253.17,0,0.03254627912907729,1,Lost Cheap
15237,2.36,4,1412.32,14.27,4.76,99,94,1071,4,225.78,1.0,75.26,5,4,4,13,318.67,0,0.012905997656746836,1,Lost Cheap
13248,125.24,2,465.68,17.91,5.22,26,25,305,2,64.98,1.0,64.98,2,2,2,6,0.0,1,0.7979101495943912,1,Lost Cheap
14117,144.35,1,90.0,30.0,0.0,3,3,72,1,0.0,1.0,53.46,2,1,1,4,0.0,1,0.8594608470306578,0,Promising
17703,36.1,3,798.74,14.52,6.09,55,47,590,3,103.1,1.0,51.55,3,3,3,9,307.78,0,0.045071520052186426,1,Lost Cheap
15663,107.1,1,138.14,15.35,3.21,9,9,106,1,0.0,1.0,53.46,2,1,1,4,0.0,1,0.8753265803185595,1,Lost Cheap
15322,86.37,1,679.68,16.18,6.73,42,42,416,1,0.0,1.0,53.46,2,1,3,6,679.68,0,0.6245871866789628,1,Lost Cheap
13518,86.33,1,659.44,17.35,5.35,38,36,392,1,0.0,1.0,53.46,2,1,3,6,659.4399999999999,0,0.6089887085036828,1,Lost Cheap
17043,33.12,4,1735.18,17.01,19.39,102,100,998,4,234.03,1.0,78.01,4,4,4,12,1410.21,0,0.019980116450234585,1,Lost Cheap
